"config","J","N","mu","method","n_reps","mean_l2_mean","mean_l2_se","mean_sq_mean","mean_sq_se","min_count","max_count","delta_s_semi","delta_n_1","delta_s_1","mu_n","mu_s","sigma_n","sigma_s"
"balanced",10,500,0.25,"Ordinary baseline: noisy counts and sums",30,0.294451130186154,0.0125020993641417,0.0912342402347186,0.00805622083340171,50,50,2,1.4142135623731,1.4142135623731,0.0883883476483184,0.0883883476483184,16,16
"balanced",10,500,0.25,"Semi-DP: noisy sums, exact counts",30,0.15650679326484,0.00723406579884947,0.0260119958695237,0.0026868325825876,50,50,2,NA,NA,NA,NA,NA,8
"balanced",10,500,0.4,"Ordinary baseline: noisy counts and sums",30,0.206920075128068,0.00766760307584826,0.0445208894619393,0.00337023172351024,50,50,2,1.4142135623731,1.4142135623731,0.14142135623731,0.14142135623731,10,10
"balanced",10,500,0.4,"Semi-DP: noisy sums, exact counts",30,0.090145888397119,0.00401838004666301,0.00859455516268899,0.000777132222813782,50,50,2,NA,NA,NA,NA,NA,5
"balanced",10,500,0.6,"Ordinary baseline: noisy counts and sums",30,0.146418112361656,0.005865800882343,0.022436084607298,0.00180453616617329,50,50,2,1.4142135623731,1.4142135623731,0.212132034355964,0.212132034355964,6.66666666666667,6.66666666666667
"balanced",10,500,0.6,"Semi-DP: noisy sums, exact counts",30,0.0665567027845232,0.00274330051219288,0.0046480399188531,0.000385792851276158,50,50,2,NA,NA,NA,NA,NA,3.33333333333333
"balanced",10,500,0.8,"Ordinary baseline: noisy counts and sums",30,0.109510378974388,0.0042625748065013,0.0125194398785636,0.000907491484795213,50,50,2,1.4142135623731,1.4142135623731,0.282842712474619,0.282842712474619,5,5
"balanced",10,500,0.8,"Semi-DP: noisy sums, exact counts",30,0.046750103602541,0.00187064563438194,0.00228705232444185,0.000170126116514273,50,50,2,NA,NA,NA,NA,NA,2.5
"balanced",10,500,1,"Ordinary baseline: noisy counts and sums",30,0.0925444399314398,0.00379137706424979,0.00898133502348013,0.000715981601254744,50,50,2,1.4142135623731,1.4142135623731,0.353553390593274,0.353553390593274,4,4
"balanced",10,500,1,"Semi-DP: noisy sums, exact counts",30,0.0405100624895841,0.00174469847932737,0.00172934037363925,0.000156792934538972,50,50,2,NA,NA,NA,NA,NA,2
