"scenario","x_value","K","J","d","N","mu","method","n_reps","coeff_l2_mean","coeff_l2_se","pred_l2_mean","pred_l2_se","coeff_sq_mean","coeff_sq_se","pred_sq_mean","pred_sq_se","Lz","delta_b_semi","delta_b_1","delta_gamma_1","mu_gamma","mu_b","sigma_gamma","sigma_b","gamma_min_eigen","gamma_max_eigen"
"design_complexity",1,1,2,2,512,1,"Ordinary baseline: noisy X'X and X'Y",30,0.0278902029098237,0.00232910134633866,0.0197213516062051,0.00164692335606678,0.000935180097715118,0.000162890127701462,0.000467590048857559,8.14450638507311e-05,1,2,1.4142135623731,1.41421356237309,0.353553390593274,0.353553390593274,4,4,256,256
"design_complexity",1,1,2,2,512,1,"Semi-DP: noisy X'Y, exact X'X",30,0.0125184528912415,0.0011039418813671,0.00885188292936124,0.000780604790350508,0.000192053605435887,2.8263227733996e-05,9.60268027179435e-05,1.4131613866998e-05,1,2,1.4142135623731,1.41421356237309,NA,NA,NA,2,256,256
"design_complexity",2,2,4,3,512,1,"Ordinary baseline: noisy X'X and X'Y",30,0.055634985717931,0.00437106762489562,0.0321208739806084,0.00252363706987955,0.00364933236909529,0.00058264223185567,0.00121644412303176,0.000194214077285223,1,2,1.63299316185545,1.33333333333333,0.353553390593274,0.353553390593274,3.77123616632825,4.61880215351701,170.666666666667,170.666666666667
"design_complexity",2,2,4,3,512,1,"Semi-DP: noisy X'Y, exact X'X",30,0.0202633398737888,0.00129755262187599,0.0116990447308129,0.000749142355527808,0.000459428584230262,5.55023944448462e-05,0.000153142861410087,1.85007981482821e-05,1,2,1.63299316185545,1.33333333333333,NA,NA,NA,2,170.666666666667,170.666666666667
"design_complexity",3,3,8,4,512,1,"Ordinary baseline: noisy X'X and X'Y",30,0.0977713028880858,0.00648999664584543,0.0488856514440429,0.00324499832292272,0.0107807093058633,0.00145318244447146,0.00269517732646582,0.000363295611117865,1,2,1.73205080756888,1.4142135623731,0.353553390593274,0.353553390593274,4,4.89897948556636,128,128
"design_complexity",3,3,8,4,512,1,"Semi-DP: noisy X'Y, exact X'X",30,0.0299509722317216,0.00191163832923339,0.0149754861158608,0.000955819164616697,0.00100303720957739,0.000127446782889953,0.000250759302394347,3.18616957224881e-05,1,2,1.73205080756888,1.4142135623731,NA,NA,NA,2,128,128
"design_complexity",4,4,16,5,512,1,"Ordinary baseline: noisy X'X and X'Y",30,0.13854256148293,0.00839108775837611,0.061958117050555,0.00375260852657906,0.0212359416015457,0.0024821565798005,0.00424718832030914,0.0004964313159601,1,2,1.78885438199983,1.3856406460551,0.353553390593274,0.353553390593274,3.91918358845308,5.05964425626941,102.4,102.4
"design_complexity",4,4,16,5,512,1,"Semi-DP: noisy X'Y, exact X'X",30,0.0417319124348648,0.00249062580429173,0.0186630786070853,0.00111384172098228,0.00192144580548433,0.000218553586777198,0.000384289161096866,4.37107173554396e-05,1,2,1.78885438199983,1.3856406460551,NA,NA,NA,2,102.4,102.4
"sample_size",128,4,16,5,128,1,"Ordinary baseline: noisy X'X and X'Y",30,0.537081941096895,0.0446081031915836,0.240190345956039,0.0199493502167413,0.346163614692587,0.0584457758565751,0.0692327229385174,0.011689155171315,1,2,1.78885438199983,1.3856406460551,0.353553390593274,0.353553390593274,3.91918358845308,5.05964425626941,25.6,25.6
"sample_size",128,4,16,5,128,1,"Semi-DP: noisy X'Y, exact X'X",30,0.164373074128082,0.0102848653715775,0.0735098734842006,0.00459953162205619,0.0300860827139487,0.00379722994588958,0.00601721654278973,0.000759445989177915,1,2,1.78885438199983,1.3856406460551,NA,NA,NA,2,25.6,25.6
"sample_size",256,4,16,5,256,1,"Ordinary baseline: noisy X'X and X'Y",30,0.235394723074653,0.0164839383972217,0.105271720467932,0.00737184135862133,0.0632905621788111,0.00966136820137628,0.0126581124357622,0.00193227364027526,1,2,1.78885438199983,1.3856406460551,0.353553390593274,0.353553390593274,3.91918358845308,5.05964425626941,51.2,51.2
"sample_size",256,4,16,5,256,1,"Semi-DP: noisy X'Y, exact X'X",30,0.079440452003394,0.00481374623152065,0.0355268501685797,0.00215277276002272,0.00698277784516644,0.000818803087306074,0.00139655556903329,0.000163760617461215,1,2,1.78885438199983,1.3856406460551,NA,NA,NA,2,51.2,51.2
"sample_size",512,4,16,5,512,1,"Ordinary baseline: noisy X'X and X'Y",30,0.130742959181137,0.00688506531363166,0.0584700288617007,0.00307909481416126,0.0184684409822568,0.0018673647003444,0.00369368819645136,0.000373472940068881,1,2,1.78885438199983,1.3856406460551,0.353553390593274,0.353553390593274,3.91918358845308,5.05964425626941,102.4,102.4
"sample_size",512,4,16,5,512,1,"Semi-DP: noisy X'Y, exact X'X",30,0.0407651978014118,0.00254317375615357,0.0182307506800364,0.00113734187947057,0.00184936560165389,0.000222877200878468,0.000369873120330778,4.45754401756935e-05,1,2,1.78885438199983,1.3856406460551,NA,NA,NA,2,102.4,102.4
"sample_size",1024,4,16,5,1024,1,"Ordinary baseline: noisy X'X and X'Y",30,0.0662868342219892,0.00352791644223579,0.0296443734667254,0.00157773219675569,0.00475488402945201,0.000513518973807407,0.000950976805890402,0.000102703794761481,1,2,1.78885438199983,1.3856406460551,0.353553390593274,0.353553390593274,3.91918358845308,5.05964425626941,204.8,204.8
"sample_size",1024,4,16,5,1024,1,"Semi-DP: noisy X'Y, exact X'X",30,0.0214091590482617,0.00111859085634527,0.00957446699460357,0.000500249038759544,0.000494638210766844,5.1535395397023e-05,9.89276421533688e-05,1.03070790794046e-05,1,2,1.78885438199983,1.3856406460551,NA,NA,NA,2,204.8,204.8
